code,description
X90,"Ecumenical Interdenominational Jewish-Christian Relations National Conference of Christians and Jews Organizations representing multiple faiths that have gathered together to establish a worldwide Christian (or other religious) unity; to promote cooperation on such common tasks as supporting missions, working with students and sponsoring conferences; to establish mutual understanding regarding the fundamental issues of belief, worship and polity; and to serve as a united witness on world problems."
J32," Goodwill Industries sites."
O99," Organizations that clearly provide youth development services where the major purpose is unclear enough that a more specific code cannot be accurately assigned."
C," Organizations whose primary purpose is to preserve, protect and improve the environment. Includes: Organizations that are involved in pollution control and abatement; conservation and development of natural resources; control or elimination of hazardous or toxic substances including pesticides; solid waste management; urban beautification and open spaces development; environmental education and outdoor survival; and botanical gardens and horticultural societies."
R63,Anti-Censorship Advocacy Censorship Cyber-Liberties Freedom of Speech Free Speech Freedom of the Press Library Censorship Organizations that support the right of the press to freedom of expression without censorship or other restrictions by government and/or which support the right of the media to maintain confidential sources.
G43,"Aneurysm Angina Pectoris Angiodysplasia Angioneurotic Edema Aortic Diseases Arrhythmia Arterial Occulsive Diseases Arteriosclerosis Arteritis Bradycardia Capillary Leak Syndrome Carcinoid Heart Disease Cardiac Arrest Cardiac Tamponade Cardiomegaly Cardiovascular Diseases Carotid Stenosis Congestive Heart Failure Coronary Thrombosis CREST Syndrome Dysrhythmia Embolism Endocarditis Erythromelalgia Fibromuscular Dysplasia Heart Aneurysm Heart Diseases Heart Valve Disease High Blood Pressure Hperemia Hypertension Hypertrophy Hypotension Ischemic Heart Disease Leriches Syndrome Low Blood Pressure Mesenteric Vascular Occulsion Mitral Valve Prolapse Myocardial Diseases Myocardial Infarction Myocardial Ischemia Paroxysmal Tachycardia Pericardial Effusion Pericarditis Peripheral Vascular Diseases Phlebitis Phlebolgy Pneumopericardium Polyarteritis Nodosa Postpericardiotomy Syndrome Postphlebitic Syndrome Pulmonary Heart Disease Pulmonary Veno-Occulsive Disease Raynauds Disease Retinal Vein Occulsion Rheumatic Heart Disease Scimitar Syndrome Shwartzman Phenomenon Stroke Spinal Cord Vascular Diseases Superior Vena Cava Syndrome Tachycardia Telangiectasis Thoracic Outlet Syndrome Thromboangiitis Obiterans Thrombophlebitis Thrombosis Varicose Veins Variococele Vascualr Fistula Vascular Diseases Vasculitis Vasuclar Hemostatic Disorders Venous Disorders Venous Insufficiency Ventricular Dysfunciton Waldenstrom Macroglobulinemia Voluntary health organizations active in the prevention or treatment of diseases or conditions, including stroke, that affect the heart, lungs and blood vessels. The related medical specialty is cardiovascular medicine, a subspecialty of internal medicine."
I," Organizations dedicated to addressing actions or omissions that constitute an offense that may be prosecuted by the state and may be punishable by law."
K35,Homeless Meals Meals for Homeless People Soup Kitchens Organizations that provide meals in a central location for indigent people.
P26," Separately incorporated, local Volunteers of America sites."
W50,Communication Services Electronic Messaging Freenet Providers Internet Service Providers Rural Utilities Telecommunications  Telegraph Telephone Systems Wireless Communications Systems Organizations that furnish point-to-point communications services including telephone and telegraph services.
N," Organizations dedicated to the refreshment of strength and spirits through organized and unorganized play."
G51,"Ankylosing Spondylitis Chondrocalcinosis Gout Neurotrophic Arthritis Osteoathritis Palindromic Arthritis Psoriatic Arthritis Reiter Disease Rheumatism Rheumatoid Arthritis Spondylarthritis Voluntary health organizations active in the prevention or treatment of arthritis (including osteoarthritis and rheumatoid arthritis), an inflammatory condition affecting the joints. The related medical specialty is rheumatology, a subspecialty of internal medicine, though rheumatology is broader and covers more conditions than arthritis."
X," Organizations dedicated to a set of beliefs concerning the cause, nature, and purpose of the universe, especially when considered as the creation of a superhuman agency or agencies, usually involving devotional and ritual observances, and often containing a moral code governing the conduct of human affairs."
L21,"Farm Labor Housing Program Federal Leased Housing FMHA 515 Government Subsidized Housing Housing and Urban Development Housing Housing Authorities HUD Housing Leased Housing Low and Moderate Income Housing Low Income and Affordable Housing Public Housing Rent Subsidies RHS Programs Rural Housing Service Section 202 Section 231 Section 236 Section 8 Section 811, Section 221(d)(3) Section 221(d)(4)Subsidized Housing Subsidized Rental Housing Organizations that develop, rehabilitate, manage and/or provide rental housing that is available to people who qualify on the basis of income, age or disability for publicly subsidized housing e.g., HUD housing or housing assistance under Section 8 of the Housing and Urban Development Act."
P31,Adoption Agencies Adoptive Family Recruitment Adoptive Parent/Child Search Adoption Registry Birth Child Location Biological Parent Location Birth Parent Location Children Court-Appointed Confidential Intermediaries Natural Parent Location International Adoption Special Needs Adoption Youth Organizations that arrange permanent homes under new legal parentage for individuals whose birth parents are unable or unwilling to provide for their care.
G80,Achlorhydria Achylia Gastrica Acne Acneiform Eruptions Acquired Language Disorders Addisons Disease Adiposis Dolorosa Agent Orange Agraphia Alcoholism Alopecia Antitrypsin Deficiency Amebiasis Amyloidosis Anemia Anomia Aphasia Articulation Disorders Avitaminosis Besnier-Boeck Disease Blind Loop Syndrome Boecks Sarcoid Disease Bovine Spongiform Encephalopathy (BSE) Breast Diseases Burns Calcium Metabolism Disorders Carpal Tunnel Syndrome Cavernous Hemangioma Celiac Disease Chiari-Frommel Syndrome Child Nutrition Disorders Chlamydia Cholera Coagulation Defects Communications Disorders Cretinism Creutzfeldt-Jakob Disease Cryoglobulinemia Cushing Syndrome Deficiency Diseases Dengue Fever Dermatitis Dermatomyositis Dermatoses Desert Storm Syndrome Diabetes Dwarfism Dysarthria Dyslexia Dystrophic Epidermolysis Bullosa Ebola Virus Hemorrhagic Fever Echolalia Eczema Ehlers-Danlos Syndrome Encephalitis Endocrine Diseases Epstein-Barr Virus Erythema Euthyroid Sick Syndromes Exanthema Expressive Language Disorder Fifth Disease Food Poisoning Foodborne Infections Foot Diseases Frommels Disease Galactorrhea Genital Herpes Genital Warts Glucose Intolerance Goiter Gonadal Disorders Gonorrhea Graves Disease Gynecomastia Hair Diseases Head Lice Hemic Disease Hemorrhagic Fevers Hirsutism Histiocytosis Hookworm Infection Hyperammonemia Hyperbilirubinemia Hyperglobulinemic Purpura Hyperglycemia Hyperinsulinemia Hyperinsulinemia Hyperinsulinism Hyperlipidemia Hyperoxaluria Hyperparathyroidism Hyperprolactinemia Hyperthyroidism Hyperthyroxinemia Hypervitaminosis A Hypochlorhydria Hypoglycemia Hypoparathyroidism Hypothyroidism Immunological Diseases Immunoparasitology Infectious Diseases Injuries Intertrigo Iron Metabolism Disorders Iron Overload Iron-Deficiency Anemia Juvenile Xanthogranuloma Keratoacanthoma Keratosis Kimura Disease Kussmaul Aphasia Lactation Disorders Lactose Intolerance Language Disorders Learning Disabilities Lipodystrophy Lupus Lyme Disease Lymphatic Diseases Mad Cow Disease Magnesium Deficiency Malabsorption Syndromes Malaria Marchiafava-Micheli Syndrome Mast-Cell Disease Mastitis Mastocytosis Meningitis Metabolic Diseases Metabolic Skin Diseases Metabolic Syndrome X Mitochondrial Diseases Mononucleosis Mutism Myxedema Nail Diseases Narcolepsy Necrobiosis Lipoidica Necrobiotic Disorders Neurodermatitis Nutrition Disorders Nutritional Diseases Obesity Ochronosis Orchitis Orphan Diseases Owrens Disease Panniculitis Papulosquamous Skin Diseases Parasitology Parasitic Diseases Parathyroid Diseases Persian Gulf Syndrome Phosphorus Metabolism Disorders Photosensitivity Disorders Pickwickian Syndrome Pigmentation Disorders Pituitary Diseases Pityriasis Lichenoides Pityriasis Rosea Pityriasis Rubra Pilaris Plague Porphyria Potassium Deficiency Prader-Willi Syndrome Protein Deficiency Prurigo Pruritus Rare Diseases Refetoff Syndrome Refetoff-DeWind-DeGroot Syndrome Reyes Syndrome Rocky Mountain Spotted Fever Roundworm Sarcoidosis Scabies Schamberg Disease Schaumann Disease Schistosomiasis Schoenlein-Henoch Purpura Scleredema Scurvy Sexually Transmitted Diseases Short Bowel Syndrome Sjogrens Syndrome Skin Diseases Sleeping Sickness Speech Disorders Stammering Stuart-Prower Disease Stuttering Syphilis TB Testicular Diseases Thymus Hyperplasia Thyroid Diseases Thyroid Hormone Resistance Syndrome Thyroiditis Thyrotoxicosis Tick-borne Diseases Trauma Trichomoniasis Tropical Diseases Tropical Sprue Typhoid Fever Varicocele Venereal Diseases Virilism Vitamin Deficiency Vitiligo Willebrand Disease Waldenstrom Macroglobulinemia Warts Wasting Disease Wasting Syndrome Water-Electrolyte Imbalance Waterhouse-Friderichsen Syndrome West Nile Encephalitis West Nile Virus Whipples Disease Wounds Xanthomatosis Yellow Fever Voluntary health organizations active in the prevention or treatment of specifically named diseases and conditions. 
X20,Armenian Apostolic Church Christ Catholic Church Church of Cyprus Church of Greece Church of Jesus Christ of Latter Day Saints Church of the Latter Day Saints Coptic Christian Eastern Catholicism Eastern Orthodox Greek Orthodox Holy Apostolic Catholic Assyrian Church of the East Mormon Church Oriental Orthodox Church Orthodox Church Prayer Breakfasts Russian Orthodox Syrian Orthodox Church of Antioch Religious organizations that provide opportunities for people to satisfy their inner needs and enhance their spiritual growth through organized worship or through other devotional activities under the auspices of one of the group of religious faiths that is based on the teachings of Jesus Christ. 
P43,Battered Womens Hotlines Battered Womens Shelters Crisis Nurseries Crisis Shelters Domestic Violence Shelters Family Crisis Shelters Family Violence Shelters Safe Houses Organizations that provide temporary shelter for women who have experienced domestic violence and for their children.
L40,"Bridge Housing for Homeless People Emergency Housing Hostels Temporary Accommodations Transitional Housing Transitional Living Centers Transitional Shelter Youth Hostels Organizations that provide a temporary place to stay for newcomers, travelers, people who are in crisis, or homeless individuals in the community."
G92,"Biomedical Engineering Biomedicine Clinical Engineering Rehabilitation Engineering Organizations that represent physicians who have advanced training in the development, implantation and utilization of cardiac pacemakers, cochlear implants and other hearing aids, artificial limbs and joints and other similar devices."
X50,Buddha Buddhism Buddhist Spiritual Retreats Pilgrimages - Buddhism Buddhist Buddhist Temples Zen Organizations whose members are followers of the religion of eastern and central Asia that is based on the teachings of Gautama Buddha which stress that suffering is inherent in life and that one can achieve nirvana (release from suffering) through mental and moral self-purification. Includes Zen.
P50,Assertiveness Training Conflict Resolution Training Consciousness-Raising Groups Cultural Awareness/Competencies Training Death and Dying Workshops Disability Awareness Emancipation Preparation Individual Development Information and Referrals Interpersonal Communication Training Life Skills Training Marriage Enrichment Meditation Personal Enrichment Personal Growth  Relationship Workshops Self-Esteem Workshops Self-Help Groups Sensitivity Training Social Responsibility  Social Skills Training Stress Management Team Building Activities Yoga Organizations that provide a variety of personal social services or which offer personal social services not specified below.
G99," Organizations that clearly provide services related to diseases, disorders or medical spcialities where the major purpose is unclear enough that a more specific code cannot be accurately assigned."
M20,"Relief Avalanches Brush Fires Catastrophe Planning Chemical Emergencies Civil Defense Civil Unrest Community Disaster Information Debris Removal Disaster Alert Systems Disaster Donations Disaster Hotlines Disaster Information Disaster Kits Disaster Loans Disaster Mitigation Disaster Planning Disaster Preparedness Disaster Readiness Disaster Recovery Centers Disaster Relief/Recovery Disaster Relief Disaster Response Disaster Service Centers Disaster Services Disaster-Specific Home Repairs Disaster Specific Rent Assistance Droughts Early Warning Alerts Earthquakes Emergency Communications Emergency Dispatch Emergency Management Emergency Preparedness/Response Training Emergency Radio Evacuation Plans Explosions Extreme Heat Floods Flood Protection and Control Forest Fires Grass Fires Hazardous Materials Emergencies Homeland Security Hurricanes Landslide/Mudslides Natural Disasters Nuclear Emergencies Post-Disaster Clean-Up Post-Disaster Housing Assistance Post-Disaster Housing Databanks/Referrals Post-Disaster Rebuilding Assistance Post-Disaster Volunteer Management Radiological Emergencies Snowstorms Terrorism Thunderstorms Tidal Waves Tornados Tsunamis Volcanic Eruptions Wildfires Wildland Fires Winter Storms Woodland Fires Organizations that work to prevent, predict or control the effects of disasters (e.g. floods, earthquakes, fires, tornadoes), to educate or otherwise prepare individuals to cope with the effects of such disasters or to provide broad-based relief services to victims of such disasters. "
P61,"Consulates/Foreign Government Representatives Customs Assistance Emergency Road Service Foreign Currency Exchange Foreign Visitor Assistance International Travel Advisories Tourist Information Towing Travelers Assistance Stranded Motorist Assistance Organizations that provide supportive services including information and emergency assistance for tourists, travelers or other visitors who are stranded or have encountered other problems."
I40,"Bail Assistance Correctional Restitution Court Referral Day Reporting Centers Electronic Monitoring of Detention Ex-Offender Counseling Ex-Offender Reentry Juvenile Parole Parole Pre-Release Pretrial Electronic Monitoring Pretrial Release Probation Restorative Justice Teen Court Victim/Offender Reconciliation VORP Work Furlough Work Release Youth Court Organizations that provide counseling, job seeking assistance and other nonresidential supportive services that help adult and/or juvenile offenders re-integrate into the community following their release from a correctional facility. "
F39," Mental health first aid is a training program that teaches members of the public how to help a person developing a mental health problem (including a substance use problem), experiencing a worsening of an existing mental health problem, or in a mental health crisis. Like traditional first aid, Mental Health First Aid does not teach people to treat or diagnose mental health or substance use conditions. Instead, the training teaches people how to offer initial support until appropriate professional help is received or until the crisis resolves."
P74,"Facility-Based Hospice Care Hospitals for the Dying In-Home Hospice Care Institutional Hospice Care Palliative Care Supportive Care for the Dying Terminal Illness Care Organizations that provide palliative and supportive services including medical care, pain and symptom management, home nurse visitation, case management, counseling, and bereavement services for terminally ill people who are in the final stages of their illnesses and for members of their families."
I60,"Fraternal Order of Police K-9 Police team Law Enforcement Agencies Police Academies Police Auxiliaries Police Benefit Associations Police Benevolent Associations Police Chaplains Police Departments Police Protective Associations Police Reserves Police Training Sheriffs Associations Sheriff's Posse Sheriffs Posse Law enforcement associations, advisory councils or other nonprofit community groups that provide advice and direction for police departments; auxiliaries or other community-based organizations that collect and disburse money in aid of injured police officers or in support of local law enforcement activities; and other nonprofit groups that have an interest in law enforcement issues."
N31," Organizations that operate centers which offer, at a single location, a variety of recreational facilities such as athletic fields and courts, a gymnasium, a swimming pool and public lockers. Recreational centers usually offer an organized program of activities for community residents and provide all necessary equipment."
P84,"Citizenship Assistance Centers Cultural Orientation Cultural Transition Facilitation Immigrant Centers Immigrant Services Immigrant Support Interpreters Language Interpretations Language Translations Refugee Resettlement Organizations that provide or coordinate a wide variety of programs and services that are structured to meet the social, educational, economic, recreational and other needs of specific ethnic and/or immigrant groups in ways that are culturally appropriate."
I80,Court-appointed Counsel Discrimination Assistance Equal Employment Opportunity Fair Housing Fair Housing Counseling Guardians ad Litem Guardianship Housing Discrimination Assistance Housing Discrimination Counseling Landlord/Tenant Law Legal Aid Legal Aid to the Poor Legal Counseling Legal Representation Legal Services for Indigents Pro Bono Cases Public Defenders Organizations that provide general legal aid regarding criminal and/or civil matters at little or no cost for individuals who are economically disadvantaged.
P99," Organizations that clearly provide human services where the major purpose is unclear enough that a more specific code cannot be accurately assigned."
F," Organizations dedicated to the psychological well-being and satisfactory adjustment to society and to the ordinary demands of life."
J22,Apprenticeship & Training Trusts Apprenticeships Community Work & Training Employment Training Field Experience Industrial Training In-service Training Internships Job Corps Job Training Jobs Training Partnership Act JTPA JTPA Summer Manpower Training Occupational Training On-the-Job Training Personnel Training Practice Teaching Practicums Public Employment & Training Residency School to Career School to Work Senior Community Service Employment Student Field Work Summer Youth Employment Title IIA Title IIB Title IIC Welfare to Work WIA Work & Training Work Experience Workfare Workforce Development Workforce Investment Act Youth Corps Youth Job Training & Employment Organizations that train people in the specific skills they will need to obtain employment in a particular industry or which provide work experience for youth or others who have no employment history.
R26,"Gay Rights Homosexual Rights Lesbian Rights Organizations that support the passage and enforcement of laws and other social measures that protect and promote the rights and interests of individuals who are gay, lesbian, bisexual, or transgender."
O30,"Adult/Child Matching Adult/Child Mentoring Big Friends Foster Grandparents Intergenerational Programs Programs, also known as adult/child mentoring programs, that provide male or female adult companionship, guidance and/or role models for young men or women. "
K31,"Food Banks Food Clearinghouse Food Closet Food Outlets Food Pantries Food Supplement Distribution Free Food Distribution Surplus Commodity Distribution Organizations that gather, store and distribute food to indigents at no charge or at low cost."
L," Organizations that help people develop, construct, manage, or secure temporary or permanent housing. "
R61,Abortion Rights Pro-Choice Advocacy Right to Choose Organizations that support the passage and enforcement of laws and other social measures which preserve a womans right to terminate her pregnancy.
K50,"Family Life Homemaking Housekeeping Organizations that provide instruction that deals with the basic activities of homemaking including caring for and managing children, shopping for and preparing nutritious meals, maintaining a clean and safe living environment, and other in-home responsibilities."
R," Organizations whose primary purpose is to protect and promote the broad civil rights of groups and civil liberties of individuals, to work for the realization of specific social or political goals or to encourage the participation of people in the public policy debate. Includes: Organizations that work to improve relations between racial, ethnic, and cultural groups; advocacy and citizen action groups that work to change public policy and opinion in a variety of areas; organizations that use courts to protect and enlarge civil rights and liberties; and organizations that promote voter education and registration."
W30,Air Force American Legion Armed Forces of the United States Army Coast Guard Marine Corps Military Chaplains National Guard Navy Veterans Affairs  Veterans of Foreign Wars VFW War Veterans Membership organizations that are engaged in promoting the interests of the veterans or active or retired military personnel who are their members.
O43,Adventure Camp Fire USA Discovery Horizon Starflight Organizations specifically designated as Camp Fire programs.
L25," Organizations that clear slums and renew or rehabilitate old housing and other structures including abandoned buildings in blighted and depressed residential neighborhoods in order to provide a safe, sanitary and pleasant place for people to live."
O54,Boys Nation Boys State Citizenship Programs for Youth Girls Nation Girls State HI-Y Leadership Center Kids Voting Mock Elections Model United Nations Assemblies Presidential Classroom United States Senate Youth Program Youth Citizenship Youth in Government Youth Republic Organizations like Youth Republic and Girls Nation that provide opportunities for young people to gain a clear understanding of the process of government and to develop an appreciation for their approaching citizenship responsibilities.
W80,"Electric Generating Plants Electrification Energy Generating Resources Energy Suppliers Gas Services Energy Suppliers Light Companies Natural Gas Services Power Generating Plants Propane Services Public Utilities Rural Water Companies Sanitary Services Utility Systems Water & Sewer Services Water Rights Water Systems Waterworks Organizations that provide gas, electricity, water and sanitary services including the hook-up of services and the installation, maintenance and repair of necessary equipment."
P22," Separately incorporated, local Urban League sites."
L81,"Bathroom Accessibility Modifications Christmas in April Energy Conservation Home Improvement Energy Conservation Rebates Home Barrier Evaluation Home Barrier Removal Home Energy Conservation Home Improvement Home Rehabilitation Home Repairs Insulation Kitchen Accessibility Modifications Ramp Construction Weather Stripping Weatherization Organizations that provide assistance for homeowners who need to upgrade their homes to make them attractive, safe, accessible and energy efficient."
P29," Organizations that offer new or second-hand furniture, appliances, clothing, toys and other material goods at lower than retail prices, and which often use the proceeds from sales to support other services to the community. Thrift shops accept direct donations from the public of new and reusable goods."
X30,"Chabad Eruv Habonim-Dror Hebrew School Jewish Camps Jewish Religion Jewish Spiritual Retreats Judaism Labavitch Mikvah Noahide Passover Seders Pesach Seders Sukout Synagogues Talmud Torah Organizations whose members are a worldwide group which constitutes a continuation through descent or conversion of the ancient Jewish people; who practice Judaism, a religion that is characterized by a belief in one God and in the mission of Jews to teach the oneness of God as revealed in the Hebrew scriptures. Organizations making reference to Lubavitch, Chabad, Yeshiva, and Torah should also be classified here, but not necessarily those mentioning Israel, Hebrew, and Shalom."
P40,"Child Development Classes Companionship Programs Co-Parenting Workshops Expectant/New Parent Assistance Family Life Education Family Preservation Family Reunification Family Strengthening Family-Based Services Mothers of Multiple Births Parent Education Parenting Education Parenting Skills Respite Care Organizations that provide a wide variety of social services that are designed to support healthy family development, improve the familys ability to resolve problems and prevent the need for unnecessary placement of children in settings outside the home. "
N20,"Art and Music Camps Art Camps Athletic Camps Computer Camps Dance Camps Day Camps Music Camps Performning Arts Camps Recreational Camps Residential Camps Special Interest Camps Sports Camps Summer Camps Therapeutic Camps Organizations that operate facilities for cooperative group living experiences in the out-of-doors; and which provide opportunities to learn campcraft, nature lore and conservation, and participate in a wide range of indoor and outdoor recreational, athletic and group social activities including cookouts."
P46,Christian Counseling Christian Support Services Conciliation Counseling Marital Counseling Marital Counseling Marriage Counseling Marriage Encounter Pastoral Counseling Premarital Counseling Religious Counseling Spiritual Counseling Organizations that offer therapeutic sessions which focus on the system of relationships and communication patterns among family members and which attempt to modify those relationships and patterns to achieve greater harmony. The therapist focuses on the family as a unit rather than concentrating on one of the members who is singled out as the one in need of treatment.
L42,"Cooling Centers Cooling Site Cooling Sites A cooling center is a air-conditioned public space set up by local authorities to temporarily deal with the health effects of a heat wave. Cooling centers are meant to prevent hyperthermia caused by heat, humidity, and poor air quality. Cooling centers provide shade, water, and restrooms; medical attention and referrals to social services may also be offered. Their services are aimed at the homeless, at-risk populations such as the elderly, and those without air conditioning."
P58,"Christmas Assistance Christmas Baskets Christmas Clearing Bureaus Christmas Food Baskets Christmas Gifts Christmas Toys Christmas Trees Easter Assistance Easter Events Easter Food Baskets Holiday Assistance Holiday Adoption  Holiday Cash Grants Holiday Donations Mothers Day Assistance Passover Assistance Ramadan Assistance Thanksgiving Food Baskets Toys for Tots Organizations - like Toys for Tots - that provide, coordinate or raise money and donations for holiday assistance and gift distribution programs, usually but not exclusively organized around holidays."
O21," Organizations specifically designated as Boys Clubs that provide a wide range of supervised activities and delinquency prevention services for children and youth of all ages and backgrounds, but particularly for disadvantaged youth, with the objective of building character and developing leadership and social skills among participants."
D," Organizations whose primary purpose is to provide for the care, protection and control of wildlife and domestic animals that are a part of the living environment; to help people develop an understanding of their pets; and to train animals for purposes of showing. Includes: Organizations that develop and maintain fisheries resources and wildlife habitats to preserve and protect endangered species and other wildlife; humane societies; veterinary services; aquariums; and zoos."
O41,Boy Scouts Cub Scouts Eagle Scouts Explorers Organizations specifically designated as Boy Scouts of America troops and councils.
P71,"Adult Day Care Centers Adult Day Health Care Adult Development Centers for Persons with Disabilities Adult Family Day Care Homes Developmentally Disabled Activity Centers Developmentally Disabled Day Care In-Home Adult Care Non-residential Care Senior Day Care Special Day Care Special Non-Residential Day Care Organizations that provide personal care for dependent adults or adults with disabilities in a supervised group setting during some portion of a twenty-four hour day. Services may include social and recreational activities, training that is essential for sustaining the activities of daily living and meals, as appropriate."
J," Organizations dedicated to helping people prepare for, find, secure, retain, or receive fair remuneration for safe, suitable employment."
P81,Agency on Aging Comprehensive Senior Services Independence of the Elderly Senior Citizen Centers Organizations that provide or coordinate a wide variety of programs and services that meet the needs and interests of the senior population. Also included are organizations that administer funding for senior services under Title III of the Older Americans Act.
O52,"H Clubs Agricultural Leadership Programs for Youth Four-H Clubs FFA Future Farmers of America Organizations like 4-H Club, and Future Homemakers that emphasize the total development of young people through work on animal, engineering, family/consumer health, resource, plant or social science projects in consultation with their parents and supervising adult volunteers. Members also participate in camping activities, leadership conferences, awards programs and community service activities."
O," Organizations dedicated to the preparation of young people to meed the challenges of adolescence and adulthood and achieve their full potential."
P87,American Sign Language Interpretation AMESLAM Interpretation Deaf Relay Services Sign Language Interpretation Telecommunication Relay Services TTD Linkage Organizations that provide or coordinate a wide variety of programs and services for people who are deaf or have hearing impairments.
P20,Catholic Human Services Catholic Social Services Community Services Jewish Human Services Lutheran Aid Societies Lutheran Social Services Multipurpose Human Services Protestant Human Services Religious Welfare Saint Vincent DePaul Society United Service Organizations United Services Organizations that provide a broad range of social services for individuals or families. 
E41,"Obstetrics Gynecology Gynaecology Obstetrician Gynecologist Gynaecologist OB/GYN OB-GYN OBGYN Female reproductive Pregnancy Pregnant Childbirth Postpartum Prenatal Intranatal Neonatal Postnatal Natal Partum Organizations that provide preventive, diagnostic and treatment services for women and girls with regards to the female reproductive system, pregnancy, childbirth, and the postpartum period."
R23,"Disability Rights Handicapped Persons Rights Handicapped Rights Organizations that support the passage and enforcement of laws or other social measures that protect the rights of people who have disabilities and maximize their ability to enjoy the same opportunities, resources and privileges as the mainstream population."
P27," Separately incorporated, local YMCA, YWCA, YMHA, YWHA sites."
R40,"Election Regulation League of Women Voters Voter Education Voter Participation Voter Registration Voter Turnout Organizations that encourage citizens to participate in the political process, in a nonpartisan manner, by providing opportunities for political involvement, access to public officials, information that is necessary to make informed decisions at the ballot box or assistance in registering to vote."
P32,"Foster Care for Adults with Disabilities Foster Care for Children with Disabilities Foster Care for Dependent Children Foster Home Care Foster Home Placement Foster Homes Foster Parent/Family Recruitment Therapeutic Foster Care Organizations that provide an alternative family living arrangement in agency-supervised family homes for dependent children who have been removed from their homes because of abuse, neglect or abandonment; or for children or adults with disabilities who are unable to live with their birth families or in an independent setting."
P44,"Errand Running Grocery Delivering Homemaker Assistance Home Health Aide Home Maintenance Housekeeping Assistance In-Home Assistance In-Home Hairdressing In-Home Meal Preparation Personal Care Secretarial Assistance Yard Work
See also: Home Health Care
 Organizations that provide assistance in performing routine household, yard and personal care activities for frail elderly, disabled or indigent individuals or families whose normal routines have been disrupted by an emergency."
R67,Assisted Suicide Death with Dignity Do Not Resuscitate Orders Doctor Assisted Death Doctor Assisted Suicide Euthanasia Hemlock Society Living Wills Mercy Killings Physician Assisted Death Physician Assisted Suicide Rationale Suicide Right to Die Organizations that support the right of people who may be terminally ill to end their own lives in a planned manner either by active means or by the removal of life-support systems.
P51,"Bankruptcy Assistance Bill interpretation Assistance Credit Counseling Credit Denial Assistance Credit Rating Assistance Debt Consolidation Debt Management Debt Repayment Counseling Debt Liquidation Counseling Financial Counseling Financial Record Keeping Assistance Investment Counseling Money Management Mortgage Default Assistance Personal Finances Administration Personal Financial Management Counseling Property Lien Assistance Protective Payee Services Repossession Assistance Representative Payee Services Tax Assistance Taxpayer Assistance Tax Payer Assistance Organizations that provide advice and guidance for people who need assistance in obtaining credit, obtaining or correcting information in their credit records, reducing their debt burden or managing their financial resources more effectively."
P62,"Court Appearance Advice Court Appearance Guidance Court Proceedings Information Crime Victims Filing Assistance for Crime-Related Expenses Filing Assistance for Crime-Related Losses Victims Escort Services Victims Protective Services Organizations that provide supportive services for crime victims which may include crisis counseling, medical services, escort services, transportation, child care, financial assistance, protective services, information about the mechanics of court proceedings, assistance with forms to file for reimbursement of crime-related expenses or losses, and/or advice and guidance concerning court appearances."
P75,"Assisted Living Boarding Care Facilities CCRCs Continuing Care Retirement Communities Group Homes for Seniors Homes for Aging Housing for the Elderly Life Care Communities Lifecare Communities Personal Care Homes Residential Care Facilities for the Elderly Senior Board & Care Senior Foster Care Senior Residential Care Homes Senior Residential Facilities Residential facilities for older adults who are unable to function in an independent living environment because they need assistance with toileting, bathing, dressing, medication, meals and housekeeping and other activities of daily living, but do not require nursing care on a regular basis."
W60,"Banks Check Cashing Investment Management  Investments & Securities  Savings & Loan Associations Thrift Institutions Trust Companies Organizations that provide an alternative to the traditional banking system for people who want to maintain checking or savings accounts, purchase money orders, cash third-party checks or engage in other financial transactions."
P85,Homeless Day Centers Homeless Drop-In Centers Homeless Persons Centers Homeless Persons Services Missions Shower Facilities/Public Restrooms Telephone Facilities Temporary Mailing Address Organizations that provide supportive services for individuals and families who are homeless or which work with people who are at risk for homelessness in an effort to prevent them from losing their permanent residence.
R20,Discrimination of Specific Groups Equal Rights Immigrant Rights Legal Rights Refugee Rights Organizations that work for the passage and enforcement of laws or other social measures that will more effectively protect the rights of specific groups. 
